formula_pretty,formation_energy_per_atom,volume_per_atom,mean MeltingT,mean CovalentRadius,range Electronegativity,mean Electronegativity,mean NpValence,mean NdValence,range Polarizability,mean Polarizability
Ca2GaAg,1.210556251,335.2837774,941.96,154.75,0.93,1.435,0.25,5,18.74333333,16.64416667
InGaPd2,1.024839625,220.9723636,1097.19,135.5,0.42,1.9975,0.5,10,4.85,6.8425
Sr2TlGa,1.163528267,446.3497014,744.9775,164.25,0.86,1.3325,0.5,5,18,16.6925
Mg2GaPd,1.312883556,234.2520752,994.24,135.75,0.89,1.6575,0.25,5,5.966666667,8.613333333
ZnGaPd2,1.124218216,185.3443424,1162.9225,130.5,0.55,1.965,0.25,10,3.32,5.884166667
Ca2TlGa,1.252612734,451.350691,777.4775,154.75,0.81,1.3575,0.5,5,18.18333333,16.78416667
Ca2InGa,1.262887842,372.9234991,740.665,154,0.81,1.3975,0.5,5,17.61333333,17.30916667
AlGaPd2,1.148549384,194.2697659,1223.12,130.25,0.59,1.955,0.5,7.5,3.32,6.13
GaCuPd2,1.546464984,177.6487233,1329.195,133,0.39,2.0275,0.25,10,3.32,5.9675
ZnGaNi2,1.692679016,129.0664147,1112.8975,123,0.26,1.82,0.25,9,2.303333333,6.884166667
MgGaPt2,1.359971252,210.6743456,1327.1775,133.75,0.97,1.92,0.25,7,4.266666667,7.971666667
NaHg2Au,0.292757444,295.8504757,544.21,141.5,1.61,1.8675,0,7.5,18.75,10.1575
TlCdHg2,0.583240395,342.6743448,409.965,138.25,0.38,1.8275,0.25,10,2.19,6.3975
LiHg2Au,0.321630021,237.1880167,564.915,132,1.56,1.88,0,7.5,18.975,10.21375
LiCdHg2,0.408441407,277.1777766,379.1375,134,1.02,1.6675,0,7.5,18.975,10.59375
CdInHg2,0.654858386,326.88975,373.1525,137.5,0.31,1.8675,0.25,10,4.29,6.9225
LiAgHg2,0.469834479,255.8400736,539.315,134.25,1.02,1.7275,0,7.5,18.975,10.51125
Na2HgAu,0.363151636,296.2057815,578.3475,150,1.61,1.6,0,5,18.75,14.845
LiZnHg2,0.47536197,241.1742864,403.7525,128.5,1.02,1.6575,0,7.5,18.975,10.21791667
MgCdHg2,0.592387837,338.6805089,496.465,137.25,0.69,1.75,0,7.5,5.406666667,7.201666667
NaTlHg2,0.514225635,306.2344355,354.1275,143.75,1.07,1.6375,0.25,7.5,18.75,10.595
Tl2HgAu,0.682054019,334.9935944,681.4125,139.5,0.92,1.945,0.5,10,2.19,6.565
NaMgHg2,0.509400005,324.9970525,440.6275,142.75,1.07,1.56,0,5,18.75,11.39916667
Tl2HgBi,0.699354144,331.4875909,483.18,142.5,0.4,1.815,1.25,10,7.15,5.215
LiCd2Hg,0.528425523,288.2871273,469.1125,137,1.02,1.59,0,7.5,18.975,11.08375
NaHg2Bi,0.532393903,325.3145169,345.9775,144.5,1.09,1.7375,0.75,7.5,23.71,8.8075
TlInHg2,0.728365398,340.9233201,368.8475,137.75,0.38,1.85,0.5,10,4.29,6.98
NaLiHg2,0.426171999,299.0144432,323.3,139.5,1.07,1.4775,0,5,18.975,14.79125
TlHg2Bi,0.729855868,328.1116951,397.51,139.25,0.4,1.91,1,10,7.15,4.6675
In2HgBi,0.723859079,311.6058008,409.555,141,0.24,1.895,1.25,10,9.25,6.265
