formula_pretty,formation_energy_per_atom,density,spacegroup_number,volume_per_atom,mean MeltingT,mean CovalentRadius,avg_dev CovalentRadius,range Electronegativity,mean Electronegativity,mean NpValence,mean NdValence,range GSvolume_pa,d_electron_density,chem_geo_coupling,range Polarizability,mean Polarizability
Na3Cd,-0.01363122,2.578544672,139,29.20146104,426.7075,160.5,8.25,0.76,1.12,0,2.5,9.748333333,0.093261833,9.24,16.79,19.9125
Cd2Hg,0.004843204,10.19725721,139,23.09160953,474.2533333,140,5.333333333,0.31,1.793333333,0,10,5.742586207,0.467089015,9.564444444,1.96,6.666666667
CaCd2,-0.300775445,5.852010595,194,25.05559366,767.8133333,154.6666667,14.22222222,0.69,1.46,0,6.666666667,18.275,0.260552371,20.76444444,18.41333333,13.45777778
Mg5Cd,-0.028342951,2.949785535,38,21.9484808,868.2033333,141.5,0.833333333,0.38,1.373333333,0,1.666666667,3.395,0.074657509,1.144444444,3.446666667,10.19222222
Li3Cd,-0.175375637,3.060900661,225,18.06986623,488.8225,132,6,0.71,1.1575,0,2.5,2.901666667,0.144352219,6.945,17.015,20.08125
CdNi,0.006270499,9.273735698,227,15.31882889,1161.11,134,10,0.22,1.8,0,9,9.175,0.603722958,18,0.52,7.06
CdAg3,-0.038884366,10.06127793,221,17.99028271,1074.7525,144.75,0.375,0.24,1.87,0,10,3.165,0.584069504,0.70125,0.33,7.0725
MgCd2,-0.055590078,6.551385943,63,21.04822398,703.8133333,143,1.333333333,0.38,1.563333333,0,6.666666667,3.395,0.323206206,2.084444444,3.446666667,8.468888889
CdPt3,-0.16197004,17.9566492,221,16.12907639,1679.605,138,3,0.59,2.1325,0,9.25,4.475,0.573154674,6.3975,0.82,6.705
CdAu,-0.203186415,13.59810705,51,18.88989172,965.775,140,4,0.85,2.115,0,10,2.795,0.552562509,8.46,1.52,6.56
MgCd2,-0.053821652,6.516965496,63,21.1593937,703.8133333,143,1.333333333,0.38,1.563333333,0,6.666666667,3.395,0.323206206,2.084444444,3.446666667,8.468888889
Mg2Cd,-0.055680507,4.154586488,63,21.45272956,813.4066667,142,1.333333333,0.38,1.436666667,0,3.333333333,3.395,0.153198008,1.915555556,3.446666667,9.617777778
CdCu2,0.009884055,9.234481534,194,14.35576311,1103.253333,136,5.333333333,0.21,1.83,0,10,8.425,0.720547616,9.76,1.17,6.54
CdAu3,-0.142866265,16.14523829,221,18.0838908,1151.5525,138,3,0.85,2.3275,0,10,2.795,0.574753933,6.9825,1.52,6.18
CdAu,-0.19933607,13.53159351,221,18.98274358,965.775,140,4,0.85,2.115,0,10,2.795,0.552562509,8.46,1.52,6.56
CdCu2,0.012524587,9.244098394,194,14.34082846,1103.253333,136,5.333333333,0.21,1.83,0,10,8.425,0.720547616,9.76,1.17,6.54
Li2CdHg,-0.325240708,7.752347823,225,17.50443879,433.98,133,5.5,1.02,1.4125,0,5,8.644252874,0.256675972,7.76875,18.975,15.3375
Li2InPb,-0.259459083,6.758756979,225,20.63157006,484.435,136,8,1.35,1.5175,0.75,5,11.51666667,0.233763198,12.14,17.34,16.32875
Li2MgAu,-0.43108272,5.98351202,216,16.31490363,791.9275,133.25,5.25,1.56,1.4525,0,2.5,6.296666667,0.137406678,7.625625,18.535,16.30916667
LiSnIr2,-0.28443722,14.41684059,225,14.68796274,1609.1925,137.25,4.625,1.22,1.835,0.5,6,19.075,0.306519934,8.486875,17.275,11.64875
LiMgCd2,-0.159461545,5.427726019,225,19.58513179,641.2825,139.25,5.625,0.71,1.4175,0,5,6.296666667,0.254863648,7.9734375,17.015,12.43541667
Li2PbAu,-0.402785434,9.439296104,216,18.38553354,711.33,134.5,6.5,1.56,1.7075,0.5,5,11.51666667,0.256421215,11.09875,18.535,15.36625
Li(Mg4Al3)4,-0.016288469,2.056769801,8,20.03347291,911.1493103,132.2758621,9.626634958,0.63,1.422758621,0.413793103,0,6.41,0,13.69637788,17.535,9.59316092
Li2TlBi,-0.424853982,7.752601655,225,22.8780675,507.195,137.25,9.25,1.04,1.4,1,5,16.35666667,0.214945905,12.95,23.935,14.155
Li(Mg4Al3)4,-0.016171506,2.055135105,160,20.04940795,911.1493103,132.2758621,9.626634958,0.63,1.422758621,0.413793103,0,6.41,0,13.69637788,17.535,9.59316092
LiCu2Sn,-0.189119226,7.025893426,194,14.93367462,918.5775,132.75,3.125,0.98,1.685,0.5,7.5,22.215,0.416560598,5.265625,18.185,10.92375
LiGa2Ni,-0.393997692,6.854003925,225,12.42135326,696.8775,124,2,0.93,1.6275,0.5,7,8.5375,0.433246512,3.255,17.535,11.84375
NaPb,-0.269950955,6.136807904,142,31.14315378,485.74,156,10,1.4,1.63,1,5,1.133333333,0.174357782,16.3,17.115,15.5525
NaPt2,-0.461287167,12.98537434,227,17.61121393,1484.556667,146,13.33333333,1.35,1.83,0,6,14.22333333,0.303626652,24.4,17.61,12.37
NaHg2,-0.264172992,9.570282884,191,24.53255497,279.8366667,143.3333333,15.11111111,1.07,1.643333333,0,6.666666667,4.005747126,0.250882776,24.83259259,18.75,11.61
NaTl3,-0.097258018,9.403052418,139,28.08489004,525.4675,150.25,7.875,0.69,1.4475,0.75,7.5,2.333333333,0.272793404,11.3990625,16.56,11.69
NaIn,-0.24996128,4.675248409,227,24.4730509,400.31,154,12,0.85,1.355,0.5,5,4.983333333,0.186904243,16.26,14.46,16.88
NaGa4,-0.138768106,5.124197299,139,19.56546332,316.502,130.8,14.08,0.88,1.634,0.8,8,10.38583333,0.382141265,23.00672,15.99,11.318
Na3Cd,-0.01775938,2.585691105,225,29.12075291,426.7075,160.5,8.25,0.76,1.12,0,2.5,9.748333333,0.093261833,9.24,16.79,19.9125
NaSn2,-0.188916883,4.886661814,12,29.49665925,460.3433333,148,12,1.03,1.616666667,1.333333333,6.666666667,4.041666667,0.208739215,19.4,17.05,12.74333333
NaPb3,-0.169211727,9.112497492,221,29.36534399,543.175,151,7.5,1.4,1.98,1.5,7.5,1.133333333,0.264146513,14.85,17.115,11.27375
NaSn,-0.265617811,3.978693238,142,29.56975928,437.975,152.5,13.5,1.03,1.445,1,5,4.041666667,0.1599275,19.5075,17.05,15.585
Na5Sn2,-0.240697217,3.122017826,166,26.77399535,409.2157143,158.2857143,11.02040816,1.03,1.224285714,0.571428571,2.857142857,4.041666667,0.093990852,13.49212828,17.05,19.23857143
NaBi,-0.381193683,6.825293768,123,28.21823803,457.635,157,9,1.09,1.475,1.5,5,3.706666667,0.160788938,13.275,23.71,12.255
Na2Tl,-0.137885059,4.683372433,20,29.58959455,439.58,159,9.333333333,0.69,1.16,0.333333333,3.333333333,2.333333333,0.117100589,10.82666667,16.56,18.59
NaAu2,-0.40535114,11.48354666,227,20.09590463,1015.176667,146,13.33333333,1.61,2.003333333,0,6.666666667,12.54333333,0.319267812,26.71111111,18.31,11.90333333
Na26Cd141,-0.038878617,6.827834141,191,23.95269825,559.4469461,147.4251497,5.783785722,0.76,1.571676647,0,8.443113772,9.748333333,0.40180995,9.090240949,16.79,9.934011976
Na2In,-0.175832273,3.048766093,20,29.19329618,390.4966667,158,10.66666667,0.85,1.213333333,0.333333333,3.333333333,4.983333333,0.12085079,12.94222222,14.46,19.29
Na3Hg2,-0.231263537,5.720900144,136,27.29295297,316.25,152.4,16.32,1.07,1.358,0,4,4.005747126,0.144712384,22.16256,18.75,16.61
NaCd3,-0.044948075,6.765046492,139,22.10494716,538.3825,149.5,8.25,0.76,1.5,0,7.5,9.748333333,0.341964778,12.375,16.79,11.5175
Na15Sn4,-0.211507829,2.463582139,220,29.07878477,399.1247368,160.3157895,8.975069252,1.03,1.146842105,0.421052632,2.105263158,4.041666667,0.069955753,10.29298732,17.05,20.52052632
NaIn3,-0.15575589,6.076408009,221,25.10343005,415.03,148,9,0.85,1.5675,0.75,7.5,4.983333333,0.294050381,14.1075,14.46,13.265
NaHg,-0.270936999,7.435777443,63,24.96463512,302.595,149,17,1.07,1.465,0,5,4.005747126,0.1835505,24.905,18.75,14.735
Na2Au,-0.297318377,5.395634689,140,24.92270918,693.0233333,156,13.33333333,1.61,1.466666667,0,3.333333333,12.54333333,0.133002305,19.55555556,18.31,18.00666667
Na9Sn4,-0.246933448,3.133735856,194,27.78863294,412.1653846,157.6923077,11.50295858,1.03,1.246923077,0.615384615,3.076923077,4.041666667,0.100925996,14.34330451,17.05,18.86384615
NaHg3,-0.212742679,10.56412312,194,24.55097296,268.4575,140.5,12.75,1.07,1.7325,0,7.5,4.005747126,0.285833813,22.089375,18.75,10.0475
Na15Pb4,-0.209552233,3.427712801,220,29.92460266,419.2363158,161.7894737,6.648199446,1.4,1.224736842,0.421052632,2.105263158,1.133333333,0.072583426,8.142294795,17.115,20.50684211
NaZn13,-0.080990319,6.594816005,226,15.70670927,669.6935714,125.1428571,5.836734694,0.72,1.598571429,0,9.285714286,15.28333333,0.616922663,9.330437318,18.29333333,7.123333333
Na8Hg3,-0.165423601,4.167494465,167,28.45978311,333.6290909,156.7272727,13.48760331,1.07,1.221818182,0,2.727272727,4.005747126,0.096880629,16.47939895,18.75,18.99636364
NaAg2,-0.078582578,6.40141697,227,20.64199912,946.91,152,9.333333333,1,1.596666667,0,6.666666667,12.91333333,0.323084379,14.90222222,17.12,12.69666667
Na7Ga13,-0.169219835,4.12335022,166,21.49149023,326.696,137.4,20.02,0.88,1.502,0.65,6.5,10.38583333,0.288984682,30.07004,15.99,13.7165
Na3Bi,-0.498157301,3.758643586,194,30.69899672,414.2525,161.5,6.75,1.09,1.2025,0.75,2.5,3.706666667,0.082863772,8.116875,23.71,18.1825
NaTl,-0.166129025,7.221026612,227,26.1432262,473.935,155.5,10.5,0.69,1.275,0.5,5,2.333333333,0.178083818,13.3875,16.56,15.83
Na9Sn4,-0.246906537,3.136662213,63,27.76270746,412.1653846,157.6923077,11.50295858,1.03,1.246923077,0.615384615,3.076923077,4.041666667,0.100925996,14.34330451,17.05,18.86384615
NaPd3,0.000252915,9.036581268,139,15.72273561,1463.755,145.75,10.125,1.27,1.8825,0,7.5,14.83333333,0.413945359,19.0603125,19.31,9.6275
NaCd3,-0.04335734,6.745247193,225,22.16983173,538.3825,149.5,8.25,0.76,1.5,0,7.5,9.748333333,0.341964778,12.375,16.79,11.5175
NaCd3,-0.042662552,6.647663902,194,22.49527014,538.3825,149.5,8.25,0.76,1.5,0,7.5,9.748333333,0.341964778,12.375,16.79,11.5175
LiMg14Zn,0.01748782,1.952831518,187,21.92878723,879.273125,139,3.5,0.67,1.310625,0,0.625,8.93,0.028488946,4.5871875,18.51833333,11.3053125
Mg14ZnBi,0.008755458,2.778704029,187,22.95732866,884.9425,140.25,2.28125,0.71,1.375625,0.1875,1.25,18.99,0.054441027,3.138144531,10.36666667,9.809375
Mg6ZnCd,0.001217029,3.154343244,38,21.29736,853.1125,139,4.25,0.38,1.4,0,2.5,8.93,0.117099447,5.95,4.95,9.717083333
Mg6ZnCd,0.002077663,3.147876916,38,21.34110875,853.1125,139,4.25,0.38,1.4,0,2.5,8.93,0.117099447,5.95,4.95,9.717083333
LiMg6Zn,-0.002347672,2.148479815,38,21.07864891,835.54625,137,6,0.67,1.31125,0,1.25,8.93,0.059561626,7.8675,18.51833333,11.84395833
Sr14Hg51,-0.351207156,10.54389086,174,27.75856643,410.0049231,145.5692308,21.29325444,1.05,1.773846154,0,7.846153846,28.99241379,0.249225824,37.77095749,20.19,9.708615385
SrTl3,-0.30280979,9.556344894,194,30.44196836,695.25,157.5,18.75,0.67,1.4525,0.75,7.5,27.32,0.222288085,27.234375,18,12.05
Sr3Li2,0.021185714,2.179072114,136,42.17766815,811.476,168.2,32.16,0.03,0.962,0,0,37.63666667,0,30.93792,1.215,25.064
SrMg5,-0.035247421,2.082456447,191,27.79517458,944.1666667,150,15,0.36,1.25,0,0,31.34,0,18.75,14.78333333,13.23055556
Sr2Mg,-0.020690808,2.582177459,63,42.77427008,1007.666667,177,24,0.36,1.07,0,0,31.34,0,25.68,14.78333333,20.62222222
SrZn5,-0.220223092,6.291555758,191,18.24051842,752.2333333,134.1666667,20.27777778,0.7,1.533333333,0,8.333333333,40.27,0.403128275,31.09259259,19.73333333,9.105555556
SrGa,-0.457062563,4.188217238,198,31.19157669,676.455,158.5,36.5,0.86,1.38,0.5,5,35.3725,0.136822302,50.37,17.43,16.835
SrSn3,-0.383782103,6.165627339,166,29.87790902,641.31,153,21,1.01,1.7075,1.5,7.5,20.945,0.194697732,35.8575,18.49,11.6825
SrHg8,-0.164657878,11.13271568,62,28.04743109,324.9511111,139,12.44444444,1.05,1.883333333,0,8.888888889,28.99241379,0.312340548,23.43703704,20.19,7.603333333
Sr11Hg54,-0.26430143,10.83303551,174,27.81688892,372.3581538,142.6615385,17.71455621,1.05,1.822307692,0,8.307692308,28.99241379,0.275600244,32.28137205,20.19,8.776769231
SrAl,-0.191402564,2.919578382,198,32.59037899,991.735,158,37,0.66,1.28,0.5,0,37.75,0,47.36,18.75,16.175
SrTl3,-0.294486413,9.628082356,221,30.21514962,695.25,157.5,18.75,0.67,1.4525,0.75,7.5,27.32,0.222288085,27.234375,18,12.05
SrCa3,0.030013997,1.854670764,139,46.52438777,1098.75,180.75,7.125,0.05,0.9875,0,0,16.46,0,7.0359375,0.183333333,25.6875
SrHg3,-0.389274643,9.887759559,62,28.94384264,438.24,147.75,23.625,1.05,1.7375,0,7.5,28.99241379,0.230870887,41.0484375,20.19,10.4075
SrCa3,0.031311877,1.847380221,221,46.70799266,1098.75,180.75,7.125,0.05,0.9875,0,0,16.46,0,7.0359375,0.183333333,25.6875
SrIn3,-0.299736747,6.134355576,194,29.24006229,584.8125,155.25,19.875,0.83,1.5725,0.75,7.5,29.97,0.236201874,31.2534375,15.9,13.625
Sr13Hg58,-0.282617773,10.6475332,194,28.05719033,383.6698592,143.5352113,18.84626066,1.05,1.807746479,0,8.169014085,28.99241379,0.267432692,34.06926135,20.19,9.056760563
Sr5Pb4,-0.664357347,6.110500176,62,38.25358686,850.2711111,173.2222222,24.19753086,1.38,1.563333333,0.888888889,4.444444444,26.12,0.104278005,37.82880658,18.555,17.30333333
SrSn3,-0.377932359,6.15455626,194,29.93165468,641.31,153,21,1.01,1.7075,1.5,7.5,20.945,0.194697732,35.8575,18.49,11.6825
SrCa,0.036421207,2.229011764,65,47.56536532,1082.5,185.5,9.5,0.05,0.975,0,0,16.46,0,9.2625,0.183333333,25.64166667
SrMg,-0.029369034,2.53399355,51,36.67251541,986.5,168,27,0.36,1.13,0,0,31.34,0,30.51,14.78333333,18.15833333
SrCa3,0.03869835,1.871434176,225,46.10764455,1098.75,180.75,7.125,0.05,0.9875,0,0,16.46,0,7.0359375,0.183333333,25.6875
Sr3Ca,0.039014965,2.34203733,221,53.69687934,1066.25,190.25,7.125,0.05,0.9625,0,0,16.46,0,6.8578125,0.183333333,25.59583333
SrCa,0.04012403,2.12281155,65,49.94496986,1082.5,185.5,9.5,0.05,0.975,0,0,16.46,0,9.2625,0.183333333,25.64166667
SrMg4,-0.02593932,2.087348067,194,29.40899468,948.4,151.8,17.28,0.36,1.238,0,0,31.34,0,21.39264,14.78333333,13.72333333
Sr2Mg,-0.002962843,2.553995507,12,43.24626089,1007.666667,177,24,0.36,1.07,0,0,31.34,0,25.68,14.78333333,20.62222222
SrSn4,-0.285622096,6.439502924,63,29.00804035,614.064,150.2,17.92,1.01,1.758,1.6,8,20.945,0.213481347,31.50336,18.49,10.758
Sr3Ca,0.04450789,2.357246104,139,53.35043113,1066.25,190.25,7.125,0.05,0.9625,0,0,16.46,0,6.8578125,0.183333333,25.59583333
SrZn2,-0.181773925,5.42175249,194,22.30058966,811.7866667,146.3333333,32.44444444,0.7,1.416666667,0,6.666666667,40.27,0.243457091,45.96296296,19.73333333,12.39444444
SrMg,-0.020862343,2.526010892,221,36.78840729,986.5,168,27,0.36,1.13,0,0,31.34,0,30.51,14.78333333,18.15833333
Sr2Mg,0.003382582,2.547447032,139,43.35742986,1007.666667,177,24,0.36,1.07,0,0,31.34,0,25.68,14.78333333,20.62222222
SrCa,0.048704365,2.116228948,187,50.10032537,1082.5,185.5,9.5,0.05,0.975,0,0,16.46,0,9.2625,0.183333333,25.64166667
Sr2Mg,0.004150166,2.547556286,63,43.35557044,1007.666667,177,24,0.36,1.07,0,0,31.34,0,25.68,14.78333333,20.62222222
SrCd3,-0.200901072,6.859032076,225,25.71372303,708.165,156.75,19.125,0.74,1.505,0,7.5,34.735,0.266158009,28.783125,18.23,11.8775
SrHg11,-0.093806295,10.95281885,221,28.9838574,302.2933333,137.25,9.625,1.05,1.9125,0,9.166666667,28.99241379,0.331481608,18.4078125,20.19,7.0425
SrCa,0.0510833,2.126509688,166,49.85811232,1082.5,185.5,9.5,0.05,0.975,0,0,16.46,0,9.2625,0.183333333,25.64166667
SrBi3,-0.456323371,9.201147797,221,32.23936878,670.8,159.75,17.625,1.07,1.7525,2.25,7.5,21.28,0.19597596,30.8878125,25.15,6.6875
Sr5Mg,0.029785863,2.62009551,8,48.84310286,1028.833333,186,15,0.36,1.01,0,0,31.34,0,15.15,14.78333333,23.08611111
SrIn3,-0.278981077,6.329718548,221,28.33758528,584.8125,155.25,19.875,0.83,1.5725,0.75,7.5,29.97,0.236201874,31.2534375,15.9,13.625
SrSn3,-0.354604393,6.478313746,221,28.43580288,641.31,153,21,1.01,1.7075,1.5,7.5,20.945,0.194697732,35.8575,18.49,11.6825
Sr3Ca,0.057118015,2.376100864,225,52.9270865,1066.25,190.25,7.125,0.05,0.9625,0,0,16.46,0,6.8578125,0.183333333,25.59583333
Sr2Mg,0.012041243,2.558146399,12,43.17608878,1007.666667,177,24,0.36,1.07,0,0,31.34,0,25.68,14.78333333,20.62222222
Sr5Mg,0.037165364,2.534560567,12,50.49143279,1028.833333,186,15,0.36,1.01,0,0,31.34,0,15.15,14.78333333,23.08611111
Sr2Mg,0.015269927,2.467253104,140,44.76669048,1007.666667,177,24,0.36,1.07,0,0,31.34,0,25.68,14.78333333,20.62222222
SrMg,-0.006859908,2.582707799,123,35.98080957,986.5,168,27,0.36,1.13,0,0,31.34,0,30.51,14.78333333,18.15833333
Sr3Mg,0.02923573,2.562091699,44,46.52923832,1018.25,181.5,20.25,0.36,1.04,0,0,31.34,0,21.06,14.78333333,21.85416667
SrMg15,0.042033769,1.904248465,187,24.64513813,930.9375,144.375,6.328125,0.36,1.2875,0,0,31.34,0,8.147460938,14.78333333,11.690625
Sr2Ir,-0.098319957,6.472920038,225,31.42202181,1613,177,24,1.25,1.366666667,0,2.333333333,40.02,0.057063667,32.8,17.95,19.56666667
Sr5Mg,0.044643433,2.637828849,189,48.51474521,1028.833333,186,15,0.36,1.01,0,0,31.34,0,15.15,14.78333333,23.08611111
Ni3Au,0.104697375,12.25412626,194,12.6377581,1630.3325,127,4.5,0.63,2.0675,0,8.5,6.38,0.713386488,9.30375,1,6.55
Mg7Ni,0.054310526,2.407199627,187,19.73135576,1023.625,138.875,3.71875,0.6,1.385,0,1,12.57,0.046907065,5.15046875,3.966666667,10.27083333
MgNi3,-0.041993494,6.850081371,139,12.14392337,1526.75,128.25,6.375,0.6,1.76,0,6,12.57,0.445682451,11.22,3.966666667,7.791666667
ZnNi,-0.129228335,8.389324962,12,12.2820897,1210.34,123,1,0.26,1.78,0,9,3.64,0.741350906,1.78,0.983333333,6.308333333
Ni3Pb,0.138668957,11.52130171,221,13.81032634,1446.1525,129.5,8.25,0.42,2.015,0.5,8.5,17.79,0.575588285,16.62375,0.195,6.84875
CaNi,0.023789325,4.077306388,221,20.1130051,1421.5,150,26,0.91,1.455,0,4,27.45,0.166354752,37.83,18.93333333,16.26666667
Ni3Bi,0.173440367,11.45259087,221,13.95771875,1432.1,130,9,0.11,1.9375,0.75,8.5,22.63,0.531998122,17.4375,6.4,5.2
MgNi2,-0.031509912,6.117067862,139,12.82121732,1459.666667,129.6666667,7.555555556,0.6,1.71,0,5.333333333,12.57,0.367562601,12.92,3.966666667,8.122222222
Mg3Ni,0.066642926,3.026350215,25,18.05317248,1124.25,136.75,6.375,0.6,1.46,0,2,12.57,0.101278643,9.3075,3.966666667,9.775
NiAg3,0.184967158,9.83161673,139,16.14232891,1358.1975,139.75,7.875,0.02,1.925,0,9.5,6.01,0.640701399,15.159375,0.19,6.9425
NiAg3,0.18964116,9.852199674,221,16.10860481,1358.1975,139.75,7.875,0.02,1.925,0,9.5,6.01,0.640701399,15.159375,0.19,6.9425
Ga21Ni5,-0.008259238,6.967395005,42,16.11156453,576.9657692,122.3846154,0.621301775,0.1,1.829230769,0.807692308,9.615384615,8.5375,0.558525047,1.136504324,1.32,7.866153846
Ni3Hg,0.197228745,11.87886455,194,13.16362308,1354.58,126,3,0.09,1.9325,0,8.5,14.91758621,0.605008192,5.7975,1.44,6.44
Mg2Ni,0.064661997,3.085687068,225,19.24816999,1191.333333,135.3333333,7.555555556,0.6,1.51,0,2.666666667,12.57,0.142602496,11.40888889,3.966666667,9.444444444
NiHg,0.218530568,13.744181,221,15.66300004,981.16,128,4,0.09,1.955,0,9,14.91758621,0.506221089,7.82,1.44,6.08
NiHg,0.219228017,13.73578431,123,15.67257483,981.16,128,4,0.09,1.955,0,9,14.91758621,0.506221089,7.82,1.44,6.08
Ni3Hg,0.221218504,11.90928963,221,13.12999351,1354.58,126,3,0.09,1.9325,0,8.5,14.91758621,0.605008192,5.7975,1.44,6.44
Mg2Ni,0.071633668,3.151020353,9,18.84907826,1191.333333,135.3333333,7.555555556,0.6,1.51,0,2.666666667,12.57,0.142602496,11.40888889,3.966666667,9.444444444
TlNi,0.228041293,11.47937379,194,19.02756832,1152.5,134.5,10.5,0.29,1.765,0.5,9,16.59,0.483481064,18.5325,0.75,7.175
Ni3Ag,0.233211393,9.43403602,139,12.49484871,1604.7325,129.25,7.875,0.02,1.915,0,8.5,6.01,0.718968069,15.080625,0.19,6.8475
GaNi2,-0.088435171,8.393729712,164,12.33869977,1252.97,123.3333333,0.888888889,0.1,1.876666667,0.333333333,8.666666667,8.5375,0.658269511,1.668148148,1.32,7.24
AlNi,-0.43824212,5.712371064,12,12.45249836,1330.735,122.5,1.5,0.3,1.76,0.5,4,6.16,0.298507463,2.64,0,6.8
Mg6GaNi,0.008339305,2.983210157,38,19.08166191,946.11375,136.5,6.75,0.6,1.4475,0.125,2.25,12.57,0.108096747,9.770625,3.966666667,9.94
NaMg14Ni,0.085357079,1.981821892,38,22.09676752,938.804375,141.5,3.0625,0.98,1.32375,0,0.5,18.92333333,0.022220782,4.053984375,17.31,11.35270833
Mg6GaNi,0.011365389,2.939511605,38,19.36532842,946.11375,136.5,6.75,0.6,1.4475,0.125,2.25,12.57,0.108096747,9.770625,3.966666667,9.94
Mg6ZnNi,0.033087503,2.930851095,38,19.11702783,994.835,136.5,6.75,0.6,1.4275,0,2.25,12.57,0.111372355,9.635625,4.95,9.652083333
CaMg14Ni,0.07334298,2.085424817,187,21.84942699,985.3125,142.125,4.234375,0.91,1.328125,0,0.5,27.45,0.021706688,5.623779297,18.93333333,11.45416667
CuNiPd,0.036541377,9.75983701,156,12.96803988,1637.94,131.6666667,5.111111111,0.3,2.003333333,0,9.333333333,4.09,0.782122905,10.23925926,2,5.916666667
Mg6ZnNi,0.035864638,2.943839759,38,19.03268062,994.835,136.5,6.75,0.6,1.4275,0,2.25,12.57,0.111372355,9.635625,4.95,9.652083333
SrMg14Ni,0.082356307,2.16802733,38,23.29279749,981.25,143.3125,6.4609375,0.96,1.325,0,0.5,43.91,0.020778681,8.560742188,18.75,11.44270833
Mg6NiSn,0.006371485,3.330107923,38,20.14730831,971.385,138.625,3.65625,0.65,1.46625,0.25,2.25,22.965,0.099477742,5.360976563,3.966666667,9.8075
Mg14AlNi,0.044309684,2.113903426,38,20.91208975,973.966875,138.6875,4.046875,0.6,1.36625,0.0625,0.5,12.57,0.023037494,5.529042969,3.966666667,10.27083333
LiMg6Ni,0.046551037,2.200606732,38,19.94591379,964.96125,137.25,5.625,0.93,1.34375,0,1,12.57,0.048705252,7.55859375,17.535,11.966875
Mg6NiSn,0.008844775,3.292115146,38,20.37981907,971.385,138.625,3.65625,0.65,1.46625,0.25,2.25,22.965,0.099477742,5.360976563,3.966666667,9.8075
Ca4AlZn43,-0.163823255,6.356194825,21,16.32730931,732.8897917,126.4791667,8.253472222,0.65,1.595,0.020833333,8.958333333,23.81,0.560012503,13.16428819,19.91666667,7.496875
Sr11Al4Sn3,-0.460707002,3.580488087,225,36.78958597,933.2844444,169.2222222,31.50617284,1.01,1.265,0.555555556,1.666666667,37.75,0.039354327,39.85530864,18.75,18.30166667
InPd,-0.54916818,10.48853464,221,17.51313957,1128.9,140.5,1.5,0.42,1.99,0.5,10,9.85,0.517196793,2.985,4.85,7.225
LiIn3,-0.196137002,6.341089117,139,23.00492528,435.735,138.5,5.25,0.8,1.58,0.75,7.5,7.666666667,0.335670595,8.295,14.685,13.32125
In7Pt3,-0.528649909,10.70288629,229,21.54981534,913.245,140.2,2.52,0.5,1.93,0.7,9.7,9.24,0.451414743,4.8636,3.15,8.705
Mg3In,-0.05786926,3.520416099,221,22.13786466,799.6875,141.25,0.375,0.47,1.4275,0.25,2.5,1.37,0.107607877,0.5353125,1.116666667,10.4875
Li3In,-0.287545142,3.076131892,139,18.30522775,447.705,131.5,5.25,0.8,1.18,0.25,2.5,7.666666667,0.135062129,6.195,14.685,20.66375
Mg3In,-0.057256858,3.492651213,139,22.31384996,799.6875,141.25,0.375,0.47,1.4275,0.25,2.5,1.37,0.107607877,0.5353125,1.116666667,10.4875
InHg3,0.013582547,10.39906705,21,28.60646927,283.1775,134.5,3.75,0.22,1.945,0.25,10,0.977586207,0.400108995,7.29375,4.29,6.4325
In5Pt11,-0.480797083,17.023503,10,16.58255027,1537.759375,137.875,2.578125,0.5,2.12375,0.3125,9.3125,9.24,0.520033506,5.475292969,3.15,7.484375
InHg3,0.014008419,11.21398959,21,26.52763228,283.1775,134.5,3.75,0.22,1.945,0.25,10,0.977586207,0.400108995,7.29375,4.29,6.4325
In4Au9,-0.158686871,14.4855322,215,19.6815755,1058.074615,137.8461538,2.556213018,0.76,2.306153846,0.307692308,10,7.56,0.525592302,5.895020482,3.85,6.984615385
InPt,-0.571470893,13.60539189,12,18.91178078,1235.575,139,3,0.5,2.03,0.5,9.5,9.24,0.483706721,6.09,3.15,8.075
CaIn,-0.56276823,4.530585171,221,28.38605275,772.375,159,17,0.78,1.39,0.5,5,13.51,0.161212317,23.63,16.08333333,17.69166667
InPb,0.02086296,9.175801492,166,29.1376982,515.18,144,2,0.55,2.055,1.5,10,3.85,0.381898033,4.11,2.655,8.3225
MgIn2,-0.029136013,5.86389833,139,23.97034233,594.1666667,141.6666667,0.444444444,0.47,1.623333333,0.666666667,6.666666667,1.37,0.280072819,0.721481481,1.116666667,10.02222222
In3Ni7,-0.105779737,9.202125106,2,13.62965722,1338.525,129.4,7.56,0.13,1.871,0.3,8.6,13.94,0.593021652,14.14476,2.85,7.655
InHg3,0.017759952,11.51907875,194,25.82503328,283.1775,134.5,3.75,0.22,1.945,0.25,10,0.977586207,0.400108995,7.29375,4.29,6.4325
In4Cu9,-0.009417007,8.831127965,215,14.91511394,1072.225385,135.0769231,4.26035503,0.12,1.863076923,0.307692308,10,13.19,0.661005746,7.93736914,3.5,7.226923077
MgIn2,-0.070641282,5.847847616,71,24.03613425,594.1666667,141.6666667,0.444444444,0.47,1.623333333,0.666666667,6.666666667,1.37,0.280072819,0.721481481,1.116666667,10.02222222
Mg2In,-0.05070042,4.020033796,189,22.50218052,758.5833333,141.3333333,0.444444444,0.47,1.466666667,0.333333333,3.333333333,1.37,0.142775557,0.651851852,1.116666667,10.39444444
