formula_pretty,formation_energy_per_atom,density,spacegroup_number,volume_per_atom,mean MeltingT,mean CovalentRadius,avg_dev CovalentRadius,range Electronegativity,mean Electronegativity,mean NpValence,mean NdValence,range GSvolume_pa,d_electron_density,chem_geo_coupling,range Polarizability,mean Polarizability
Li2MgGa,1.149111345,0.174864513,71,256.182297,533.3225,129.75,5.625,0.83,1.27,0.25,2.5,6.296666667,0.133450473,7.14375,16.215,16.88916667
Mg2ZnGa,1.264926521,0.326248992,71,233.8020783,710.3975,131.5,9.5,0.5,1.52,0.25,5,8.93,0.25446102,14.44,4.95,8.8675
Mg2GaAu,1.013705326,0.557023102,71,234.9845323,871.56,135,6.5,1.23,1.7425,0.25,5,6.19,0.245889043,11.32625,4.966666667,8.863333333
Li2InGa,1.05060423,0.323277717,71,254.8034751,410.01,130,6,0.83,1.3875,0.5,5,7.666666667,0.262108884,8.325,16.215,16.61
Sr2LiGa,1.186480802,0.273810332,71,381.9217029,714.15,160,35,0.86,1.1725,0.25,2.5,37.63666667,0.069487472,41.0375,17.43,20.88875
Mg2InGa,1.335520304,0.353829068,71,273.547582,644.665,136.5,7.25,0.5,1.5525,0.5,5,5.4025,0.224978205,11.255625,2.646666667,9.825833333
Mg2GaPb,1.357101328,0.439656549,71,307.3764428,687.38,137.5,7.75,1.02,1.69,0.75,5,9.2525,0.215639236,13.0975,3.771666667,9.162083333
LiMgGa2,1.229083457,0.307190166,71,230.6720442,495.6275,128.25,6.375,0.83,1.4775,0.5,5,6.296666667,0.259072951,9.4190625,16.215,12.83541667
Sr2GaHg,0.988919162,0.461445459,71,400.8372756,659.3075,161,34,1.05,1.4275,0.25,5,35.3725,0.131100185,48.535,20.19,16.145
Li2CaGa,1.198791814,0.156620185,71,327.8320309,581.3225,138.5,18.75,0.83,1.1925,0.25,2.5,21.17666667,0.11134101,22.359375,17.61333333,20.63083333
LiGa2Cu,1.199074525,0.490286283,71,177.7542835,604.32,126,4,0.92,1.625,0.5,7.5,7.7875,0.458867617,6.5,18.185,11.68125
Sr2CdGa,1.130224406,0.372434437,71,398.3476217,749.2825,164,31,0.86,1.35,0.25,5,35.3725,0.136228182,41.85,18.23,16.635
Li2GaSn,1.171205485,0.351699359,71,238.806208,428.8425,129.25,4.875,0.98,1.4325,0.75,5,16.69166667,0.234386445,6.9834375,17.275,15.9625
Mg2GaCu,1.379185103,0.380972637,71,198.1882395,876.67,134,7,0.59,1.5825,0.25,5,11.82,0.264174619,11.0775,4.616666667,8.950833333
MgGaCu2,1.353578882,0.491221979,71,186.8698948,985.3625,131.75,4.875,0.59,1.73,0.25,7.5,11.82,0.469575426,8.43375,4.616666667,7.796666667
Sr2ZnGa,1.18640179,0.353421633,71,364.5679719,773.8975,158.5,36.5,0.86,1.34,0.25,5,40.27,0.141565359,48.91,19.73333333,16.25916667
Ga2CuPd,1.175157653,0.762480428,71,168.4602958,947.91,128.75,6.75,0.39,1.93,0.5,10,7.7875,0.632961468,13.0275,3.32,6.7975
Ca2GaHg,1.008454227,0.420673616,71,345.8545084,691.8075,151.5,24.5,1,1.4525,0.25,5,18.9125,0.167175037,35.58625,20.37333333,16.23666667
Ca2CdGa,1.186926053,0.297425777,71,366.0936822,781.7825,154.5,21.5,0.81,1.375,0.25,5,18.9125,0.175604188,29.5625,18.41333333,16.72666667
Ca2ZnGa,1.253966923,0.283079538,71,315.7188054,806.3975,149,27,0.81,1.365,0.25,5,23.81,0.18457421,36.855,19.91666667,16.35083333
Ca2MgGa,1.344615534,0.197388377,71,366.3327862,863.9775,153.75,22.25,0.81,1.28,0.25,2.5,18.9125,0.085260578,28.48,17.61333333,17.58833333
CdGaPd2,1.101213966,0.751913457,71,218.0669036,1138.3075,136,7,0.51,1.975,0.25,10,5.085,0.595481782,13.825,3.32,6.26
Ca2GaAg,1.210556251,0.319132123,71,335.2837774,941.96,154.75,21.25,0.93,1.435,0.25,5,21.44,0.180623603,30.49375,18.74333333,16.64416667
InGaPd2,1.024839625,0.746548872,71,220.9723636,1097.19,135.5,6.75,0.42,1.9975,0.5,10,9.85,0.556038228,13.483125,4.85,6.8425
Sr2TlGa,1.163528267,0.417921802,71,446.3497014,744.9775,164.25,30.75,0.86,1.3325,0.5,5,35.3725,0.129678559,40.974375,18,16.6925
Mg2GaPd,1.312883556,0.39830078,71,234.2520752,994.24,135.75,6.875,0.89,1.6575,0.25,5,8.48,0.253012429,11.3953125,5.966666667,8.613333333
ZnGaPd2,1.124218216,0.77938864,71,185.3443424,1162.9225,130.5,8.5,0.55,1.965,0.25,10,4.8975,0.648955587,16.7025,3.32,5.884166667
Ca2TlGa,1.252612734,0.32583665,71,451.350691,777.4775,154.75,21.25,0.81,1.3575,0.5,5,18.9125,0.164870268,28.846875,18.18333333,16.78416667
