formula_pretty,formation_energy_per_atom,volume_per_atom,mean MeltingT,mean CovalentRadius,range Electronegativity,mean Electronegativity,mean NpValence,mean NdValence,range Polarizability,mean Polarizability
LiAg2Sn,-0.230473383,18.14384355,857.1575,139.25,0.98,1.7,0.5,7.5,17.345,11.34375
LiAg3,-0.12879753,16.55826782,1039.62,140.75,0.95,1.6925,0,7.5,17.345,11.32625
LiAl,-0.208478788,15.82810259,693.58,124.5,0.63,1.295,0.5,0,17.535,15.5675
LiAl2,0.227009689,18.37916225,773.5433333,123.3333333,0.63,1.4,0.666666667,0,17.535,12.645
LiAl2Cu,-0.186585686,13.34036141,919.6,125.5,0.92,1.525,0.5,2.5,18.185,11.02125
LiAl2Ni,-0.489748537,12.42081119,1012.1575,123.5,0.93,1.5275,0.5,2,17.535,11.18375
LiAl3,-0.093289819,15.95009597,813.525,122.75,0.63,1.4525,0.75,0,17.535,11.18375
LiAlAg2,-0.237830734,15.47283243,964.255,134.75,0.95,1.6125,0.25,5,17.535,11.27875
LiAlCu2,-0.221278556,12.35872212,1025.675,128.25,0.92,1.5975,0.25,5,18.185,10.85875
LiAlNi2,-0.368700582,11.14680002,1210.79,124.25,0.93,1.6025,0.25,4,17.535,11.18375
LiAlZn2,-0.142787189,14.57761693,693.13,123.25,0.67,1.4725,0.25,5,18.51833333,10.69208333
LiBi,-0.415156416,23.81567929,499.045,138,1.04,1.5,1.5,5,23.935,12.3675
LiCu2Ni,1.902853144,151.0330322,1224.3075,129,0.93,1.6725,0,7,18.185,10.85875
LiCu2Sn,-0.189119226,14.93367462,918.5775,132.75,0.98,1.685,0.5,7.5,18.185,10.92375
LiCu3,-0.011274624,11.575741,1131.75,131,0.92,1.67,0,7.5,18.185,10.69625
LiCuAg2,1.281917395,210.1700883,1070.33,137.5,0.95,1.685,0,7.5,18.185,11.11625
LiIn,-0.366299663,19.78225232,441.72,135,0.8,1.38,0.5,5,14.685,16.9925
